type,budget,lieu,camera,objectif,lumieres,prix_estime
clip,low,intérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Ring Light,2708
interview,medium,intérieur,Blackmagic Pocket 4K,Tamron 28-75mm,Aputure Amaran 100x,9728
court-métrage,low,intérieur,Sony A6400,Canon 50mm f/1.8,Ulanzi VL49,2638
documentaire,high,intérieur,Sony VENICE,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,441367
interview,medium,studio,Fujifilm X-H2,Tokina 11-20mm f/2.8,Godox SL60W,6865
court-métrage,high,studio,RED Komodo,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,140303
court-métrage,high,extérieur,Sony FX6,Canon L 24-70mm f/2.8,Aputure 300x,240478
clip,medium,studio,Panasonic GH6,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,9792
court-métrage,medium,studio,Fujifilm X-H2,Tokina 11-20mm f/2.8,Aputure Amaran 100x,6964
documentaire,medium,intérieur,Sony FX30,Canon RF 24-70mm,Godox SL60W,5571
court-métrage,high,intérieur,ARRI Alexa Mini,Canon L 24-70mm f/2.8,ARRI SkyPanel S60,350555
court-métrage,high,studio,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Creamsource Vortex8,407760
documentaire,high,extérieur,Canon C70,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,286847
clip,high,studio,Sony VENICE,Canon CN-E 85mm T1.3,Nanlite Forza 300,206649
clip,medium,intérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Aputure AL-MC RGB,4661
court-métrage,low,studio,Blackmagic Pocket Cinema Camera HD,Sigma 16mm f/1.4,Andoer 660 LED,1772
interview,low,intérieur,Nikon Z30,Yongnuo 35mm f/2,Ring Light,2269
interview,low,extérieur,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Andoer 660 LED,2346
pub,medium,studio,Sony A7 IV,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,8060
interview,low,studio,Fujifilm X-T200,Viltrox 23mm f/1.4,Ulanzi VL49,1718
documentaire,medium,extérieur,Fujifilm X-H2,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,7321
pub,medium,studio,Canon R6,Sigma 24-70mm f/2.8,SmallRig RC120B,5367
pub,high,intérieur,RED Komodo,Sony G Master 35mm f/1.4,ARRI SkyPanel S60,394488
court-métrage,medium,intérieur,Fujifilm X-H2,Sigma 24-70mm f/2.8,Godox SL60W,8419
court-métrage,low,intérieur,Fujifilm X-T200,Canon 50mm f/1.8,Andoer 660 LED,2406
documentaire,medium,studio,Sony FX30,Sigma 24-70mm f/2.8,SmallRig RC120B,8099
interview,high,extérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,69793
interview,low,intérieur,Blackmagic Pocket Cinema Camera HD,Meike 25mm T2.2,GVM LED RGB,1632
court-métrage,medium,studio,Canon R6,Sony 18-105mm f/4 G,FalconEyes RX-18T,8149
pub,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Aputure 300x,149515
court-métrage,high,extérieur,Sony FX6,ARRI Signature Prime 35mm,Aputure 300x,374816
documentaire,low,studio,Nikon Z30,Viltrox 23mm f/1.4,Andoer 660 LED,3926
court-métrage,low,extérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Neewer LED Panel,3867
documentaire,medium,studio,Canon R6,Sony 18-105mm f/4 G,SmallRig RC120B,5044
documentaire,low,intérieur,Nikon Z30,Canon 50mm f/1.8,Andoer 660 LED,2225
court-métrage,high,extérieur,Canon C70,Canon CN-E 85mm T1.3,ARRI SkyPanel S60,29106
interview,low,studio,Blackmagic Pocket Cinema Camera HD,Canon 50mm f/1.8,Ring Light,3064
pub,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Aputure 300x,28445
clip,high,intérieur,ARRI Alexa Mini,Leica Summilux-C 29mm,ARRI SkyPanel S60,119097
clip,high,intérieur,Blackmagic URSA Mini Pro 12K,Leica Summilux-C 29mm,Creamsource Vortex8,442857
interview,high,studio,Blackmagic URSA Mini Pro 12K,ARRI Signature Prime 35mm,Nanlite Forza 300,444668
clip,medium,extérieur,Nikon Z6 II,Sony 18-105mm f/4 G,Godox SL60W,6467
interview,high,studio,ARRI Alexa Mini,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,282128
court-métrage,low,studio,Nikon Z30,Meike 25mm T2.2,GVM LED RGB,1826
documentaire,high,studio,RED Komodo,Sony G Master 35mm f/1.4,Nanlite Forza 300,425844
interview,low,intérieur,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Softbox 135W,2996
interview,medium,extérieur,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,Aputure Amaran 100x,8144
documentaire,medium,extérieur,Sony FX30,Tamron 28-75mm,Godox SL60W,9051
documentaire,low,extérieur,Panasonic G7,Meike 25mm T2.2,Ring Light,2463
court-métrage,high,intérieur,Canon C70,Sony G Master 35mm f/1.4,Aputure 300x,468297
documentaire,high,extérieur,Sony VENICE,Zeiss CP.3 50mm T2.1,Aputure 300x,21016
court-métrage,low,extérieur,Fujifilm X-T200,Viltrox 23mm f/1.4,Softbox 135W,3025
pub,low,extérieur,Sony A6400,Yongnuo 35mm f/2,Andoer 660 LED,2805
court-métrage,medium,studio,Fujifilm X-H2,Canon RF 24-70mm,SmallRig RC120B,6803
pub,medium,intérieur,Sony A7 IV,Canon RF 24-70mm,SmallRig RC120B,8758
documentaire,high,intérieur,Blackmagic URSA Mini Pro 12K,Leica Summilux-C 29mm,Astera Titan Tube,292645
court-métrage,high,studio,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,241308
clip,high,extérieur,Sony VENICE,Leica Summilux-C 29mm,ARRI SkyPanel S60,204884
pub,low,extérieur,Sony A6400,Kit 18-55mm,Neewer LED Panel,3350
clip,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,210760
court-métrage,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Litepanels Gemini 2x1,225885
documentaire,high,studio,RED Komodo,Canon CN-E 85mm T1.3,Creamsource Vortex8,442459
court-métrage,medium,extérieur,Blackmagic Pocket 4K,Canon RF 24-70mm,Godox SL60W,6816
clip,low,extérieur,Sony A6400,Canon 50mm f/1.8,Andoer 660 LED,2635
interview,low,studio,Nikon Z30,Canon 50mm f/1.8,Ulanzi VL49,3658
pub,low,extérieur,Sony A6400,Viltrox 23mm f/1.4,Ring Light,2605
interview,high,studio,Sony VENICE,ARRI Signature Prime 35mm,Aputure 300x,71055
interview,medium,studio,Sony FX30,Tamron 28-75mm,Aputure Amaran 100x,6561
interview,medium,intérieur,Canon R6,Tokina 11-20mm f/2.8,Aputure Amaran 100x,7713
documentaire,high,extérieur,RED Komodo,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,469894
documentaire,medium,studio,Sony FX30,Sigma 30mm f/1.4,SmallRig RC120B,6032
court-métrage,medium,intérieur,Fujifilm X-H2,Sony 18-105mm f/4 G,SmallRig RC120B,5106
interview,high,intérieur,Blackmagic URSA Mini Pro 12K,Canon CN-E 85mm T1.3,Nanlite Forza 300,492503
clip,medium,studio,Sony A7 IV,Sony 18-105mm f/4 G,Godox SL60W,7264
court-métrage,low,extérieur,Nikon Z30,Kit 18-55mm,Ring Light,3458
documentaire,high,intérieur,ARRI Alexa Mini,Canon CN-E 85mm T1.3,Aputure 300x,422208
pub,low,extérieur,Canon M50,Canon 50mm f/1.8,Ring Light,2444
pub,medium,extérieur,Blackmagic Pocket 4K,Sigma 30mm f/1.4,Nanlite PavoTube 6C,6550
interview,low,intérieur,Sony A6400,Canon 50mm f/1.8,GVM LED RGB,1755
clip,high,extérieur,Sony FX6,Leica Summilux-C 29mm,Nanlite Forza 300,318073
clip,low,intérieur,Nikon Z30,Kit 18-55mm,Softbox 135W,3482
documentaire,high,intérieur,Sony VENICE,ARRI Signature Prime 35mm,ARRI SkyPanel S60,464942
clip,medium,studio,Nikon Z6 II,Tamron 28-75mm,FalconEyes RX-18T,9429
documentaire,medium,extérieur,Canon R6,Tamron 28-75mm,Aputure Amaran 100x,9648
documentaire,low,studio,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,Ulanzi VL49,1557
court-métrage,high,intérieur,RED Komodo,Canon L 24-70mm f/2.8,Litepanels Gemini 2x1,66600
court-métrage,low,extérieur,Nikon Z30,Sigma 16mm f/1.4,GVM LED RGB,2098
pub,high,extérieur,Sony FX6,Sony G Master 35mm f/1.4,Nanlite Forza 300,340870
clip,high,studio,Sony VENICE,ARRI Signature Prime 35mm,Creamsource Vortex8,86582
documentaire,high,intérieur,Blackmagic URSA Mini Pro 12K,Zeiss CP.3 50mm T2.1,ARRI SkyPanel S60,385253
documentaire,medium,intérieur,Fujifilm X-H2,Sigma 30mm f/1.4,Nanlite PavoTube 6C,4984
interview,low,studio,Blackmagic Pocket Cinema Camera HD,Yongnuo 35mm f/2,GVM LED RGB,3661
clip,medium,intérieur,Blackmagic Pocket 4K,Tokina 11-20mm f/2.8,SmallRig RC120B,8819
court-métrage,high,intérieur,Canon C70,Canon L 24-70mm f/2.8,Nanlite Forza 300,72652
documentaire,low,studio,Nikon Z30,Canon 50mm f/1.8,Ulanzi VL49,3625
clip,high,intérieur,Blackmagic URSA Mini Pro 12K,ARRI Signature Prime 35mm,Nanlite Forza 300,211273
interview,low,intérieur,Fujifilm X-T200,Viltrox 23mm f/1.4,Ulanzi VL49,2985
clip,high,intérieur,Blackmagic URSA Mini Pro 12K,Leica Summilux-C 29mm,Nanlite Forza 300,227777
pub,medium,intérieur,Blackmagic Pocket 4K,Tamron 28-75mm,FalconEyes RX-18T,5857
court-métrage,medium,intérieur,Nikon Z6 II,Sigma 24-70mm f/2.8,Aputure Amaran 100x,6100
documentaire,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Ring Light,1906
interview,low,studio,Fujifilm X-T200,Kit 18-55mm,Neewer LED Panel,2435
documentaire,medium,intérieur,Canon R6,Tokina 11-20mm f/2.8,SmallRig RC120B,5794
clip,low,intérieur,Panasonic G7,Viltrox 23mm f/1.4,Andoer 660 LED,3763
documentaire,low,extérieur,Canon M50,Canon 50mm f/1.8,Ring Light,3229
court-métrage,high,intérieur,RED Komodo,Sony G Master 35mm f/1.4,Creamsource Vortex8,155775
documentaire,low,intérieur,Nikon Z30,Kit 18-55mm,Ring Light,1720
documentaire,medium,extérieur,Panasonic GH6,Sigma 24-70mm f/2.8,Aputure AL-MC RGB,9099
clip,high,studio,Sony VENICE,Leica Summilux-C 29mm,ARRI SkyPanel S60,464179
pub,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Litepanels Gemini 2x1,354058
interview,low,extérieur,Panasonic G7,Yongnuo 35mm f/2,Softbox 135W,2330
pub,medium,extérieur,Sony FX30,Tamron 28-75mm,SmallRig RC120B,8852
interview,medium,extérieur,Sony FX30,Sigma 24-70mm f/2.8,Aputure Amaran 100x,7229
court-métrage,medium,extérieur,Canon R6,Sigma 30mm f/1.4,Aputure Amaran 100x,8634
clip,low,intérieur,Panasonic G7,Sigma 16mm f/1.4,Softbox 135W,2913
pub,low,studio,Panasonic G7,Meike 25mm T2.2,Softbox 135W,1577
interview,medium,studio,Panasonic GH6,Sigma 30mm f/1.4,Aputure AL-MC RGB,8383
interview,low,extérieur,Fujifilm X-T200,Meike 25mm T2.2,Ring Light,2074
pub,low,extérieur,Sony A6400,Kit 18-55mm,GVM LED RGB,3134
pub,low,intérieur,Canon M50,Kit 18-55mm,GVM LED RGB,2166
clip,high,studio,Canon C70,Leica Summilux-C 29mm,Nanlite Forza 300,176951
documentaire,medium,studio,Panasonic GH6,Tamron 28-75mm,Godox SL60W,5982
pub,high,intérieur,Canon C70,Canon CN-E 85mm T1.3,Creamsource Vortex8,383298
documentaire,medium,intérieur,Canon R6,Tokina 11-20mm f/2.8,Nanlite PavoTube 6C,5076
documentaire,high,intérieur,Sony VENICE,Sony G Master 35mm f/1.4,Creamsource Vortex8,286970
documentaire,medium,intérieur,Sony A7 IV,Tokina 11-20mm f/2.8,SmallRig RC120B,5917
interview,low,extérieur,Nikon Z30,Yongnuo 35mm f/2,Ring Light,2313
interview,low,studio,Sony A6400,Yongnuo 35mm f/2,Neewer LED Panel,1618
documentaire,high,intérieur,RED Komodo,Canon L 24-70mm f/2.8,Aputure 300x,348302
interview,low,intérieur,Fujifilm X-T200,Sigma 16mm f/1.4,Ulanzi VL49,3983
court-métrage,high,extérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,Aputure 300x,322097
pub,high,extérieur,Sony FX6,Leica Summilux-C 29mm,Astera Titan Tube,401779
documentaire,high,studio,Blackmagic URSA Mini Pro 12K,Sony G Master 35mm f/1.4,Nanlite Forza 300,359396
pub,medium,extérieur,Canon R6,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,9796
interview,high,studio,Sony FX6,ARRI Signature Prime 35mm,Creamsource Vortex8,53726
interview,medium,studio,Sony A7 IV,Canon RF 24-70mm,Godox SL60W,8355
interview,low,studio,Blackmagic Pocket Cinema Camera HD,Kit 18-55mm,Softbox 135W,2436
clip,medium,studio,Sony FX30,Tokina 11-20mm f/2.8,Aputure AL-MC RGB,7153
documentaire,low,intérieur,Nikon Z30,Sigma 16mm f/1.4,Ulanzi VL49,2618
clip,low,extérieur,Canon M50,Meike 25mm T2.2,Neewer LED Panel,2326
clip,high,studio,ARRI Alexa Mini,Leica Summilux-C 29mm,ARRI SkyPanel S60,330583
pub,high,studio,RED Komodo,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,347454
clip,medium,studio,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,Godox SL60W,7909
clip,high,extérieur,Canon C70,ARRI Signature Prime 35mm,Nanlite Forza 300,104684
court-métrage,medium,intérieur,Sony FX30,Sigma 30mm f/1.4,Godox SL60W,6496
clip,low,studio,Canon M50,Yongnuo 35mm f/2,GVM LED RGB,3250
clip,medium,intérieur,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,5084
documentaire,high,studio,Sony VENICE,Canon L 24-70mm f/2.8,Creamsource Vortex8,227739
clip,medium,extérieur,Canon R6,Sigma 30mm f/1.4,Aputure AL-MC RGB,8890
court-métrage,low,studio,Sony A6400,Meike 25mm T2.2,Neewer LED Panel,2203
pub,medium,extérieur,Panasonic GH6,Sony 18-105mm f/4 G,Godox SL60W,6383
clip,high,studio,Sony VENICE,Zeiss CP.3 50mm T2.1,Litepanels Gemini 2x1,205082
pub,high,extérieur,RED Komodo,Sony G Master 35mm f/1.4,Astera Titan Tube,292773
documentaire,medium,intérieur,Sony A7 IV,Sony 18-105mm f/4 G,Godox SL60W,7180
documentaire,medium,extérieur,Fujifilm X-H2,Tamron 28-75mm,Aputure Amaran 100x,6307
interview,medium,intérieur,Sony A7 IV,Sigma 24-70mm f/2.8,FalconEyes RX-18T,9383
interview,low,studio,Sony A6400,Kit 18-55mm,Ring Light,3359
interview,high,intérieur,ARRI Alexa Mini,Canon L 24-70mm f/2.8,Nanlite Forza 300,201205
pub,high,studio,Sony FX6,Zeiss CP.3 50mm T2.1,Nanlite Forza 300,423146
documentaire,high,intérieur,Sony FX6,Sony G Master 35mm f/1.4,Aputure 300x,265984
clip,medium,extérieur,Blackmagic Pocket 4K,Sony 18-105mm f/4 G,Nanlite PavoTube 6C,7489
pub,high,intérieur,ARRI Alexa Mini,ARRI Signature Prime 35mm,ARRI SkyPanel S60,28468
pub,low,intérieur,Canon M50,Sigma 16mm f/1.4,GVM LED RGB,3340
clip,low,intérieur,Panasonic G7,Canon 50mm f/1.8,Neewer LED Panel,2463
interview,low,extérieur,Fujifilm X-T200,Canon 50mm f/1.8,Softbox 135W,1590
