reservation_id,materiel_id,client_id,date_debut,date_fin,demande,statut,id
1,7,10,2025-07-15,2025-07-16,2,en attente,0
2,10,3,2025-07-16,2025-07-20,2,en attente,0
4,8,15,2025-08-05,2025-08-09,2,confirmée,0
5,8,18,2025-07-26,2025-07-29,3,confirmée,0
6,8,4,2025-08-06,2025-08-10,1,confirmée,0
7,5,19,2025-08-03,2025-08-04,3,confirmée,0
10,10,14,2025-07-26,2025-07-31,2,confirmée,0
11,7,20,2025-08-08,2025-08-10,2,en attente,0
15,6,12,2025-08-01,2025-08-04,2,en attente,0
17,7,9,2025-07-27,2025-07-30,1,en attente,0
18,7,4,2025-08-01,2025-08-06,1,confirmée,0
19,6,8,2025-07-31,2025-08-03,1,confirmée,0
21,8,18,2025-07-25,2025-07-26,2,en attente,0
24,9,1,2025-07-27,2025-07-30,1,confirmée,0
25,6,5,2025-07-29,2025-08-01,3,en attente,0
26,7,17,2025-07-12,2025-07-15,1,en attente,0
28,1,13,2025-07-12,2025-07-15,3,confirmée,0
29,10,10,2025-08-01,2025-08-03,2,confirmée,0
30,1,9,2025-07-16,2025-07-25,2,confirmée,0
31,8,5,2025-10-11,2025-10-19,5,confirmée,0
32,7,4,2025-09-14,2025-09-21,4,confirmée,0
33,8,18,2025-07-31,2025-08-05,5,confirmée,0
34,6,1,2025-09-16,2025-09-19,2,confirmée,0
35,5,17,2025-08-13,2025-08-22,5,confirmée,0
36,9,12,2025-10-10,2025-10-16,4,en attente,0
37,10,12,2025-09-26,2025-10-02,2,en attente,0
38,9,20,2025-10-05,2025-10-07,5,en attente,0
39,8,12,2025-07-24,2025-07-28,5,en attente,0
40,9,13,2025-09-07,2025-09-14,4,confirmée,0
41,5,5,2025-09-04,2025-09-10,2,en attente,0
42,10,12,2025-08-14,2025-08-15,1,en attente,0
43,1,5,2025-07-28,2025-07-31,5,en attente,0
44,6,10,2025-09-22,2025-09-25,2,en attente,0
45,6,15,2025-07-15,2025-07-21,3,confirmée,0
46,1,15,2025-09-14,2025-09-19,4,confirmée,0
47,8,9,2025-10-08,2025-10-13,5,confirmée,0
48,7,18,2025-08-31,2025-09-01,1,confirmée,0
49,10,13,2025-10-02,2025-10-04,2,en attente,0
50,10,10,2025-10-10,2025-10-15,3,confirmée,0
51,8,19,2025-08-07,2025-08-13,1,en attente,0
52,10,12,2025-08-18,2025-08-20,3,confirmée,0
53,6,12,2025-10-13,2025-10-19,5,en attente,0
54,8,15,2025-07-26,2025-08-04,4,confirmée,0
55,7,4,2025-08-04,2025-08-07,5,en attente,0
56,9,14,2025-10-11,2025-10-16,1,en attente,0
57,8,12,2025-10-11,2025-10-14,3,confirmée,0
58,9,4,2025-07-25,2025-07-30,2,en attente,0
59,7,18,2025-08-02,2025-08-07,4,en attente,0
60,7,19,2025-08-27,2025-09-04,3,en attente,0
61,6,13,2025-08-15,2025-08-18,4,en attente,0
